"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"1","all","location_Simon","community","Random","0.67","[0.45; 0.98]",-2,0,19,3.94,"[3.38;4.58]",0.94,"[0.91;0.95]",0.74,"[0.48;1.15]",0.54,"[0.23;1.32]",279.22,0
"2","all","location_Simon","institution","Random","0.50","[0.37; 0.68]",-5,0,20,2.13,"[1.72;2.62]",0.78,"[0.66;0.85]",0.56,"[0.34;0.88]",0.32,"[0.12;0.77]",85.87,0
"3","all","location_Simon","both","Random","0.76","[0.42; 1.37]",-1,0,10,1.97,"[1.44;2.7]",0.74,"[0.52;0.86]",0.72,"[0.34;1.46]",0.52,"[0.12;2.14]",35.07,0
"4","all","location_Simon","not mentioned","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"5","all","Pathway1","community","Random","0.86","[0.60; 1.23]",-1,0,18,4.07,"[3.49;4.74]",0.94,"[0.92;0.96]",0.67,"[0.42;1.05]",0.44,"[0.17;1.1]",281.52,0
"6","all","Pathway1","diversion","Random","0.38","[0.19; 0.72]",-4,0,5,1.25,"[1;2.05]",0.36,"[0;0.76]",0.4,"[0;1.47]",0.16,"[0;2.15]",6.29,0.178
"7","all","Pathway1","institution","Random","0.50","[0.37; 0.66]",-5,0,20,2.11,"[1.71;2.61]",0.78,"[0.66;0.85]",0.55,"[0.33;0.85]",0.3,"[0.11;0.72]",84.55,0
"8","all","Pathway1","both","Random","0.61","[0.20;  1.90]",-1,0,6,2.23,"[1.51;3.29]",0.8,"[0.56;0.91]",0.91,"[0.43;2.48]",0.84,"[0.18;6.16]",24.88,0
"9","all","Pathway1","not mentioned","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"10","all","Gendered","Yes","Random","0.52","[0.37; 0.73]",-4,0,21,2.7,"[2.26;3.23]",0.86,"[0.8;0.9]",0.66,"[0.43;1]",0.43,"[0.19;1]",145.79,0
"11","all","Gendered","No","Random","0.67","[0.48; 0.95]",-2,0,23,3.48,"[3;4.03]",0.92,"[0.89;0.94]",0.73,"[0.5;1.08]",0.54,"[0.25;1.16]",266.4,0
"12","all","Gendered","Partially","Random","0.66","[0.42; 1.04]",-2,0,6,1.74,"[1.13;2.69]",0.67,"[0.21;0.86]",0.37,"[0.1;1.06]",0.14,"[0.01;1.13]",15.14,0.01
"13","all","focus_Simon","Substance Use","Random","0.62","[0.45; 0.85]",-3,0,23,2.71,"[2.29;3.22]",0.86,"[0.81;0.9]",0.67,"[0.45;1]",0.45,"[0.2;1]",161.79,0
"14","all","focus_Simon","Complex Needs","Random","0.60","[0.38; 0.94]",-3,0,11,3.37,"[2.7;4.21]",0.91,"[0.86;0.94]",0.57,"[0.33;1.09]",0.32,"[0.11;1.19]",113.85,0
"15","all","focus_Simon","Cognitive Skills","Random","0.78","[0.37; 1.64]",-1,0,8,2.86,"[2.14;3.82]",0.88,"[0.78;0.93]",0.85,"[0.39;2.06]",0.73,"[0.15;4.23]",57.26,0
"16","all","focus_Simon","Parenting","Random","0.52","[0.07;     3.73]",-1,0,3,2.26,"[1.28;4.01]",0.8,"[0.39;0.94]",0.69,"[0.21;4.97]",0.47,"[0.04;24.66]",10.24,0.006
"17","all","focus_Simon","Employment","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"18","all","focus_Simon","prostitution","Random","","",-3,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"19","all","focus_Simon","Mental Health","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"20","all","focus_Simon","Education","Random","0.24","[0.01; 10.24]",-5,0,2,1.24,"[NA;NA]",0.35,"[NA;NA]",0.29,"[NA;NA]",0.09,"[NA;NA]",1.53,0.216
"21","all","approach","Group","Random","0.61","[0.47; 0.79]",-4,0,33,2.48,"[2.14;2.88]",0.84,"[0.78;0.88]",0.65,"[0.44;0.88]",0.42,"[0.19;0.77]",197.41,0
"22","all","approach","Individual","Random","0.63","[0.37; 1.07]",-2,0,8,2.33,"[1.68;3.22]",0.82,"[0.65;0.9]",0.54,"[0.27;1.23]",0.3,"[0.07;1.52]",37.87,0
"23","all","approach","unknown","Random","0.54","[0.26; 1.14]",-2,0,9,4.68,"[3.81;5.73]",0.95,"[0.93;0.97]",0.89,"[0.55;1.8]",0.79,"[0.3;3.24]",174.98,0
"24","all","Therapeutic","Not Therapeutic","Random","0.67","[0.50; 0.90]",-3,0,32,2.78,"[2.41;3.2]",0.87,"[0.83;0.9]",0.76,"[0.54;1.04]",0.58,"[0.29;1.09]",238.72,0
"25","all","Therapeutic","unknown","Random","0.27","[0.20; 0.35]",-21,0,3,1,"[1;3.1]",0,"[0;0.9]",0.08,"[0;1.18]",0.01,"[0;1.39]",0.62,0.733
"26","all","Therapeutic","Therapeutic","Random","0.55","[0.44; 0.70]",-5,0,15,1.36,"[1.01;1.84]",0.46,"[0.01;0.7]",0.33,"[0;0.58]",0.11,"[0;0.34]",25.84,0.027
"27","all","age_cat","34 and Older","Random","0.69","[0.52; 0.90]",-3,0,24,2.53,"[2.12;3.01]",0.84,"[0.78;0.89]",0.55,"[0.37;0.81]",0.31,"[0.14;0.66]",146.79,0
"28","all","age_cat","Less Than 34","Random","0.56","[0.38; 0.84]",-3,0,19,3.55,"[3.02;4.17]",0.92,"[0.89;0.94]",0.77,"[0.49;1.2]",0.59,"[0.24;1.44]",226.68,0
"29","all","studylength_cat","Less than 6 Months","Random","0.71","[0.52; 0.98]",-2,0,22,2.35,"[1.94;2.84]",0.82,"[0.74;0.88]",0.63,"[0.38;0.94]",0.4,"[0.14;0.88]",115.92,0
