"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"1","all","location_Simon","community","Fixed","0.76","[0.70; 0.83]",-5.882,0,19,3.94,"[3.38;4.58]",0.94,"[0.91;0.95]",0.74,"[0.48;1.15]",0.54,"[0.23;1.32]",279.22,0
"2","all","location_Simon","community","Random","0.67","[0.45; 0.98]",-2,0,19,3.94,"[3.38;4.58]",0.94,"[0.91;0.95]",0.74,"[0.48;1.15]",0.54,"[0.23;1.32]",279.22,0
"3","all","location_Simon","institution","Fixed","0.55","[0.49; 0.61]",-10.472,0,20,2.13,"[1.72;2.62]",0.78,"[0.66;0.85]",0.56,"[0.34;0.88]",0.32,"[0.12;0.77]",85.87,0
"4","all","location_Simon","institution","Random","0.50","[0.37; 0.68]",-5,0,20,2.13,"[1.72;2.62]",0.78,"[0.66;0.85]",0.56,"[0.34;0.88]",0.32,"[0.12;0.77]",85.87,0
"5","all","location_Simon","both","Fixed","1.01","[0.86; 1.19]",0.177,0.86,10,1.97,"[1.44;2.7]",0.74,"[0.52;0.86]",0.72,"[0.34;1.46]",0.52,"[0.12;2.14]",35.07,0
"6","all","location_Simon","both","Random","0.76","[0.42; 1.37]",-1,0,10,1.97,"[1.44;2.7]",0.74,"[0.52;0.86]",0.72,"[0.34;1.46]",0.52,"[0.12;2.14]",35.07,0
"7","all","location_Simon","not mentioned","Fixed","0.37","[0.15; 0.89]",-2.21,0.027,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"8","all","location_Simon","not mentioned","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"9","all","Pathway1","community","Fixed","0.85","[0.78; 0.93]",-3.647,0,18,4.07,"[3.49;4.74]",0.94,"[0.92;0.96]",0.67,"[0.42;1.05]",0.44,"[0.17;1.1]",281.52,0
"10","all","Pathway1","community","Random","0.86","[0.60; 1.23]",-1,0,18,4.07,"[3.49;4.74]",0.94,"[0.92;0.96]",0.67,"[0.42;1.05]",0.44,"[0.17;1.1]",281.52,0
"11","all","Pathway1","diversion","Fixed","0.39","[0.28; 0.56]",-5.101,0,5,1.25,"[1;2.05]",0.36,"[0;0.76]",0.4,"[0;1.47]",0.16,"[0;2.15]",6.29,0.178
"12","all","Pathway1","diversion","Random","0.38","[0.19; 0.72]",-4,0,5,1.25,"[1;2.05]",0.36,"[0;0.76]",0.4,"[0;1.47]",0.16,"[0;2.15]",6.29,0.178
"13","all","Pathway1","institution","Fixed","0.55","[0.49; 0.61]",-10.527,0,20,2.11,"[1.71;2.61]",0.78,"[0.66;0.85]",0.55,"[0.33;0.85]",0.3,"[0.11;0.72]",84.55,0
"14","all","Pathway1","institution","Random","0.50","[0.37; 0.66]",-5,0,20,2.11,"[1.71;2.61]",0.78,"[0.66;0.85]",0.55,"[0.33;0.85]",0.3,"[0.11;0.72]",84.55,0
"15","all","Pathway1","both","Fixed","0.83","[0.62;  1.10]",-1.302,0.193,6,2.23,"[1.51;3.29]",0.8,"[0.56;0.91]",0.91,"[0.43;2.48]",0.84,"[0.18;6.16]",24.88,0
"16","all","Pathway1","both","Random","0.61","[0.20;  1.90]",-1,0,6,2.23,"[1.51;3.29]",0.8,"[0.56;0.91]",0.91,"[0.43;2.48]",0.84,"[0.18;6.16]",24.88,0
"17","all","Pathway1","not mentioned","Fixed","0.37","[0.15; 0.89]",-2.21,0.027,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"18","all","Pathway1","not mentioned","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"19","all","Gendered","Yes","Fixed","0.82","[0.73; 0.93]",-3.135,0.002,21,2.7,"[2.26;3.23]",0.86,"[0.8;0.9]",0.66,"[0.43;1]",0.43,"[0.19;1]",145.79,0
"20","all","Gendered","Yes","Random","0.52","[0.37; 0.73]",-4,0,21,2.7,"[2.26;3.23]",0.86,"[0.8;0.9]",0.66,"[0.43;1]",0.43,"[0.19;1]",145.79,0
"21","all","Gendered","No","Fixed","0.64","[0.58; 0.69]",-10.281,0,23,3.48,"[3;4.03]",0.92,"[0.89;0.94]",0.73,"[0.5;1.08]",0.54,"[0.25;1.16]",266.4,0
